Obstacle Course - Yoshi's Island	e02_ild_athletic
Obstacle Course - Yoshi's Island	e02a_ild_athletic_spring_summer
Obstacle Course - Yoshi's Island	e02b_ild_athletic_autumn_winter
Obstacle Course - Yoshi's Island	e02_ild_athletic	e02a_ild_athletic_spring_summer	e02b_ild_athletic_autumn_winter
Yoshi's Island (Brawl)	e03_ild_yoshiisland
Flower Field	e05_cty_ohanabatake
Wildlands	e06_ilds_kouyanotheme
Yoshi's Island (for 3DS / Wii U)	e07_ild_stage1_1
Main Theme - Yoshi's Woolly World	e08_kny_keitonoyoshi
Main Theme - Yoshi's New Island	e09_nild_maintheme
Bandit Valley	e10_nild_gypsy
Main Theme - Yoshi's Woolly World	e11_wol_yoshiwoolworld
Main Theme - Yoshi's New Island	e12_nild_maintheme
The Legendary Air Ride Machine	f01_air_airridemachine
King Dedede's Theme (Brawl)	f02_kby_dededeounotheme
Boss Theme Medley - Kirby Series	f03_kby_bossthememedley
Butter Building (Brawl)	f04_yim_butterbuilding
Gourmet Race (Brawl)	f05_sdx_gekitotsugourmetrace
Meta Knight's Revenge	f06_sdx_metaknightnogyakushuu
Vs. Marx	f07_sdx_vsmarx
02 Battle	f08_kby64_zerotwosen
Frozen Hillside	f11_air_colda
Squeak Squad Theme	f12_sdd_dorochedannotheme
Green Greens (for 3DS / Wii U)	f13_kby_greengreens_ver2
Green Greens	f14_kby_gb_greengreens
Kirby Retro Medley	f14a_kby_gb_greengreens_scenelink
Castle Lololo	f15_kby_gb_castlelololo
Float Islands	f16_kby_gb_floatislands
Butter Building (for 3DS / Wii U)	f19_yim_butterbuilding
King Dedede's Theme (for 3DS / Wii U)	f20_sdx_dedededaiounotheme
The Great Cave Offensive	f21_sdx_doukutsudaisakusen
Forest/Nature Area	f22_knd_morishizenarea
Celestial Valley	f23_air_vallerion
The Adventure Begins	f24_kbyw_boukennohajimari
Through the Forest	f25_kbyw_moriwonukete
Floral Fields	f26_tdx_fuyuutairikunohanabatake
Forest Stage	f27_air_moristage
Planet Popstar	f28_kby64_popstar
The World to Win	f29_tdx_tamashiinotatakai
Ice Cream Island	f30_yim_icecreamisland
City Trial	f31_air_citytrial
Staff Credits - Kirby's Dream Land	f32_kby_staffroll
Sky Tower	f33_wii_skytower
Dangerous Dinner	f34_wii_dagerousdiner
CROWNED	f35_wii_crowned
Fatal Blooms in Moonlight	f36_tdx_kyoukasuigetsu
CROWNED: Ver.2	f37_ddz_crowned_ver2
Venturing Into the Mechanized World	f38_rbp_kikainosekainodaibouken
Pink Ball Activate!	f39_rbp_roboboarmor
Kirby Battle Royale: Main Theme	f40_bdx_maintheme
A Battle of Friends and Bonds 2	f41_sta_tomotokizunanotatakai2
Kirby Retro Medley	f42_kby_gb_medley
Kirby Retro Medley	f42_kby_gb_medley	f14a_kby_gb_greengreens_scenelink	f15_kby_gb_castlelololo	f16_kby_gb_floatislands	f17_kby_gb_bubblyclouds	f18_kby_gb_mtdedede
Let the Battles Begin!	ff01_ff7_tatakaumonotachi
Fight On!	ff02_ff7_saranitatakaumonotachi
Main Theme - Star Fox	g01_sfx_maintheme
Corneria - Star Fox	g02_sfx_corneria
Main Theme - Star Fox 64 (Brawl)	g03_sfx64_maintheme
Area 6 - Star Fox 64	g04_sfx64_area6
Star Wolf (Brawl)	g05_sfx64_starwolf
Space Battleground	g07_ast_sentoutyuuiki
Break: Through the Ice	g08_ast_hyougentoppaseyo
Star Wolf	g09_ast_starwolf
Space Armada	g10_sfx_spacearmada
Area 6 Ver. 2 - Star Fox 64	g11_sfx64_area6ver2
Star Wolf's Theme / Sector Z (for 3DS / Wii U)	g12_sfx64_starwolf_sectorz
Theme from Area 6 / Missile Slipstream	g13_sfx64_cmd_area6_missle
Return to Corneria - Star Fox Zero	g14_sfz_stgcorneria2
Corneria - Star Fox Zero	g15_sfz_stgdefence
Sector Ω	g16_sfz_stgspace4
Main Theme - Pokémon Red & Pokémon Blue (Brawl)	h01_pm_maintheme
Pokémon Center - Pokémon Red / Pokémon Blue	h02_pm_pokemoncenter
Road to Viridian City - Pokémon Red / Pokémon Blue	h03_pm_tokiwahenomichi_nibicity
